Trace1				Trace2			
Freq		Amp		Freq		Amp	
21960273	Hz	-85.53	 dBm	21960273	Hz	-85.62	 dBm
21960606	Hz	-85.91	 dBm	21960606	Hz	-85.71	 dBm
21960939	Hz	-85.89	 dBm	21960939	Hz	-85.71	 dBm
21961272	Hz	-85.49	 dBm	21961272	Hz	-85.87	 dBm
21961605	Hz	-85.15	 dBm	21961605	Hz	-85.34	 dBm
21961938	Hz	-84.95	 dBm	21961938	Hz	-84.9	 dBm
21962271	Hz	-85.32	 dBm	21962271	Hz	-85.14	 dBm
21962604	Hz	-85.26	 dBm	21962604	Hz	-85.52	 dBm
21962937	Hz	-84.62	 dBm	21962937	Hz	-85.51	 dBm
21963270	Hz	-84.91	 dBm	21963270	Hz	-85.26	 dBm
21963603	Hz	-85.66	 dBm	21963603	Hz	-85.02	 dBm
21963936	Hz	-86.1	 dBm	21963936	Hz	-84.73	 dBm
21964269	Hz	-85.67	 dBm	21964269	Hz	-84.97	 dBm
21964602	Hz	-85.19	 dBm	21964602	Hz	-85.21	 dBm
21964935	Hz	-85.31	 dBm	21964935	Hz	-85.28	 dBm
21965268	Hz	-85.31	 dBm	21965268	Hz	-85.28	 dBm
21965601	Hz	-84.94	 dBm	21965601	Hz	-85.51	 dBm
21965934	Hz	-84.45	 dBm	21965934	Hz	-85.72	 dBm
21966267	Hz	-84.41	 dBm	21966267	Hz	-85.61	 dBm
21966600	Hz	-84.5	 dBm	21966600	Hz	-85.52	 dBm
21966933	Hz	-84.26	 dBm	21966933	Hz	-85.48	 dBm
21967266	Hz	-84.3	 dBm	21967266	Hz	-85.49	 dBm
21967599	Hz	-84.78	 dBm	21967599	Hz	-85.35	 dBm
21967932	Hz	-85.25	 dBm	21967932	Hz	-85.19	 dBm
21968265	Hz	-85.32	 dBm	21968265	Hz	-85.23	 dBm
21968598	Hz	-85.39	 dBm	21968598	Hz	-85.09	 dBm
21968931	Hz	-85.87	 dBm	21968931	Hz	-85.21	 dBm
21969264	Hz	-86.24	 dBm	21969264	Hz	-85.36	 dBm
21969597	Hz	-85.92	 dBm	21969597	Hz	-85.34	 dBm
21969930	Hz	-84.93	 dBm	21969930	Hz	-85.19	 dBm
21970263	Hz	-84.59	 dBm	21970263	Hz	-85.41	 dBm
21970596	Hz	-84.74	 dBm	21970596	Hz	-85.5	 dBm
21970929	Hz	-84.8	 dBm	21970929	Hz	-85.42	 dBm
21971262	Hz	-84.93	 dBm	21971262	Hz	-85.38	 dBm
21971595	Hz	-85.06	 dBm	21971595	Hz	-85.1	 dBm
21971928	Hz	-85.3	 dBm	21971928	Hz	-84.77	 dBm
21972261	Hz	-85.93	 dBm	21972261	Hz	-84.57	 dBm
21972594	Hz	-85.86	 dBm	21972594	Hz	-84.68	 dBm
21972927	Hz	-85.48	 dBm	21972927	Hz	-85.22	 dBm
21973260	Hz	-85.28	 dBm	21973260	Hz	-85.9	 dBm
21973593	Hz	-85.25	 dBm	21973593	Hz	-86.19	 dBm
21973926	Hz	-85.16	 dBm	21973926	Hz	-86.24	 dBm
21974259	Hz	-85.15	 dBm	21974259	Hz	-86.17	 dBm
21974592	Hz	-85.4	 dBm	21974592	Hz	-85.79	 dBm
21974925	Hz	-85.62	 dBm	21974925	Hz	-85.51	 dBm
21975258	Hz	-85.28	 dBm	21975258	Hz	-85.61	 dBm
21975591	Hz	-85.03	 dBm	21975591	Hz	-85.75	 dBm
21975924	Hz	-85.04	 dBm	21975924	Hz	-85.73	 dBm
21976257	Hz	-85.08	 dBm	21976257	Hz	-85.74	 dBm
21976590	Hz	-84.92	 dBm	21976590	Hz	-85.85	 dBm
21976923	Hz	-84.98	 dBm	21976923	Hz	-85.71	 dBm
21977256	Hz	-85.26	 dBm	21977256	Hz	-85.78	 dBm
21977589	Hz	-85.16	 dBm	21977589	Hz	-85.75	 dBm
21977922	Hz	-84.83	 dBm	21977922	Hz	-85.82	 dBm
21978255	Hz	-84.76	 dBm	21978255	Hz	-85.97	 dBm
21978588	Hz	-84.79	 dBm	21978588	Hz	-86.04	 dBm
21978921	Hz	-84.83	 dBm	21978921	Hz	-85.87	 dBm
21979254	Hz	-85.07	 dBm	21979254	Hz	-85.63	 dBm
21979587	Hz	-85.36	 dBm	21979587	Hz	-85.24	 dBm
21979920	Hz	-85.5	 dBm	21979920	Hz	-85.07	 dBm
21980253	Hz	-85.55	 dBm	21980253	Hz	-85.25	 dBm
21980586	Hz	-85.49	 dBm	21980586	Hz	-85.32	 dBm
21980919	Hz	-85.61	 dBm	21980919	Hz	-85.22	 dBm
21981252	Hz	-85.41	 dBm	21981252	Hz	-85.23	 dBm
21981585	Hz	-85.22	 dBm	21981585	Hz	-85.2	 dBm
21981918	Hz	-84.97	 dBm	21981918	Hz	-85.13	 dBm
21982251	Hz	-85.07	 dBm	21982251	Hz	-85.35	 dBm
21982584	Hz	-85.37	 dBm	21982584	Hz	-85.47	 dBm
21982917	Hz	-85.56	 dBm	21982917	Hz	-85.27	 dBm
21983250	Hz	-85.44	 dBm	21983250	Hz	-85.1	 dBm
21983583	Hz	-85.05	 dBm	21983583	Hz	-84.87	 dBm
21983916	Hz	-84.63	 dBm	21983916	Hz	-84.83	 dBm
21984249	Hz	-84.56	 dBm	21984249	Hz	-85.22	 dBm
21984582	Hz	-84.73	 dBm	21984582	Hz	-85.45	 dBm
21984915	Hz	-84.66	 dBm	21984915	Hz	-85.23	 dBm
21985248	Hz	-84.91	 dBm	21985248	Hz	-84.95	 dBm
21985581	Hz	-85.24	 dBm	21985581	Hz	-84.75	 dBm
21985914	Hz	-85.41	 dBm	21985914	Hz	-84.88	 dBm
21986247	Hz	-84.94	 dBm	21986247	Hz	-84.79	 dBm
21986580	Hz	-82.71	 dBm	21986580	Hz	-83	 dBm
21986913	Hz	-77.8	 dBm	21986913	Hz	-78.56	 dBm
21987246	Hz	-73.13	 dBm	21987246	Hz	-73.86	 dBm
21987579	Hz	-70.2	 dBm	21987579	Hz	-70.73	 dBm
21987912	Hz	-68.65	 dBm	21987912	Hz	-68.86	 dBm
21988245	Hz	-69.03	 dBm	21988245	Hz	-68.85	 dBm
21988578	Hz	-70.96	 dBm	21988578	Hz	-70.36	 dBm
21988911	Hz	-74.66	 dBm	21988911	Hz	-73.87	 dBm
21989244	Hz	-79.34	 dBm	21989244	Hz	-79.07	 dBm
21989577	Hz	-82.61	 dBm	21989577	Hz	-83.17	 dBm
21989910	Hz	-84.35	 dBm	21989910	Hz	-85.08	 dBm
21990243	Hz	-84.65	 dBm	21990243	Hz	-85.42	 dBm
21990576	Hz	-84.58	 dBm	21990576	Hz	-85.91	 dBm
21990909	Hz	-84.61	 dBm	21990909	Hz	-86.18	 dBm
21991242	Hz	-85.18	 dBm	21991242	Hz	-86.19	 dBm
21991575	Hz	-85.96	 dBm	21991575	Hz	-85.88	 dBm
21991908	Hz	-86.3	 dBm	21991908	Hz	-85.71	 dBm
21992241	Hz	-85.71	 dBm	21992241	Hz	-85.78	 dBm
21992574	Hz	-84.77	 dBm	21992574	Hz	-85.81	 dBm
21992907	Hz	-84.38	 dBm	21992907	Hz	-85.57	 dBm
21993240	Hz	-84.95	 dBm	21993240	Hz	-85.31	 dBm
21993573	Hz	-85.66	 dBm	21993573	Hz	-85.19	 dBm
21993906	Hz	-85.65	 dBm	21993906	Hz	-85.23	 dBm
21994239	Hz	-85.52	 dBm	21994239	Hz	-85.16	 dBm
21994572	Hz	-85.65	 dBm	21994572	Hz	-85.03	 dBm
21994905	Hz	-85.55	 dBm	21994905	Hz	-85.05	 dBm
21995238	Hz	-85.38	 dBm	21995238	Hz	-84.92	 dBm
21995571	Hz	-85.17	 dBm	21995571	Hz	-84.6	 dBm
21995904	Hz	-85.06	 dBm	21995904	Hz	-84.61	 dBm
21996237	Hz	-85.18	 dBm	21996237	Hz	-85.07	 dBm
21996570	Hz	-85.37	 dBm	21996570	Hz	-85.52	 dBm
21996903	Hz	-85.21	 dBm	21996903	Hz	-85.74	 dBm
21997236	Hz	-84.92	 dBm	21997236	Hz	-85.64	 dBm
21997569	Hz	-84.78	 dBm	21997569	Hz	-85.36	 dBm
21997902	Hz	-84.72	 dBm	21997902	Hz	-85.13	 dBm
21998235	Hz	-85.13	 dBm	21998235	Hz	-85.21	 dBm
21998568	Hz	-85.62	 dBm	21998568	Hz	-85.33	 dBm
21998901	Hz	-85	 dBm	21998901	Hz	-85.19	 dBm
21999234	Hz	-84.15	 dBm	21999234	Hz	-84.97	 dBm
21999567	Hz	-83.95	 dBm	21999567	Hz	-84.84	 dBm
21999900	Hz	-84.15	 dBm	21999900	Hz	-84.83	 dBm
22000233	Hz	-84.66	 dBm	22000233	Hz	-85.27	 dBm
22000566	Hz	-85.25	 dBm	22000566	Hz	-85.36	 dBm
22000899	Hz	-85.63	 dBm	22000899	Hz	-85.39	 dBm
22001232	Hz	-85.76	 dBm	22001232	Hz	-85.22	 dBm
22001565	Hz	-85.68	 dBm	22001565	Hz	-85.11	 dBm
22001898	Hz	-85.19	 dBm	22001898	Hz	-84.97	 dBm
22002231	Hz	-84.69	 dBm	22002231	Hz	-85.1	 dBm
22002564	Hz	-84.43	 dBm	22002564	Hz	-85.35	 dBm
22002897	Hz	-84.7	 dBm	22002897	Hz	-85.48	 dBm
22003230	Hz	-85.24	 dBm	22003230	Hz	-85.37	 dBm
22003563	Hz	-85.33	 dBm	22003563	Hz	-85.3	 dBm
22003896	Hz	-85.24	 dBm	22003896	Hz	-85.44	 dBm
22004229	Hz	-85.12	 dBm	22004229	Hz	-85.85	 dBm
22004562	Hz	-84.79	 dBm	22004562	Hz	-86.1	 dBm
22004895	Hz	-84.29	 dBm	22004895	Hz	-85.92	 dBm
22005228	Hz	-84.42	 dBm	22005228	Hz	-85.67	 dBm
22005561	Hz	-84.83	 dBm	22005561	Hz	-85.6	 dBm
22005894	Hz	-84.88	 dBm	22005894	Hz	-85.74	 dBm
22006227	Hz	-84.86	 dBm	22006227	Hz	-85.6	 dBm
22006560	Hz	-85.11	 dBm	22006560	Hz	-85.57	 dBm
22006893	Hz	-85.53	 dBm	22006893	Hz	-85.61	 dBm
22007226	Hz	-85.58	 dBm	22007226	Hz	-85.41	 dBm
22007559	Hz	-85.31	 dBm	22007559	Hz	-85.4	 dBm
22007892	Hz	-84.89	 dBm	22007892	Hz	-85.53	 dBm
22008225	Hz	-84.82	 dBm	22008225	Hz	-85.46	 dBm
22008558	Hz	-85	 dBm	22008558	Hz	-85.44	 dBm
22008891	Hz	-84.87	 dBm	22008891	Hz	-85.42	 dBm
22009224	Hz	-84.77	 dBm	22009224	Hz	-85.14	 dBm
22009557	Hz	-84.75	 dBm	22009557	Hz	-84.82	 dBm
22009890	Hz	-85.06	 dBm	22009890	Hz	-84.54	 dBm
22010223	Hz	-85.09	 dBm	22010223	Hz	-84.46	 dBm
22010556	Hz	-84.41	 dBm	22010556	Hz	-84.04	 dBm
22010889	Hz	-83.9	 dBm	22010889	Hz	-83.19	 dBm
22011222	Hz	-84.66	 dBm	22011222	Hz	-82.9	 dBm
22011555	Hz	-85.49	 dBm	22011555	Hz	-83.26	 dBm
22011888	Hz	-85.61	 dBm	22011888	Hz	-84.02	 dBm
22012221	Hz	-85.48	 dBm	22012221	Hz	-84.94	 dBm
22012554	Hz	-85.22	 dBm	22012554	Hz	-85.24	 dBm
22012887	Hz	-85.03	 dBm	22012887	Hz	-85.13	 dBm
22013220	Hz	-84.86	 dBm	22013220	Hz	-85.01	 dBm
22013553	Hz	-85.01	 dBm	22013553	Hz	-85.31	 dBm
22013886	Hz	-85.12	 dBm	22013886	Hz	-85.48	 dBm
22014219	Hz	-85.5	 dBm	22014219	Hz	-85.63	 dBm
22014552	Hz	-85.55	 dBm	22014552	Hz	-85.65	 dBm
22014885	Hz	-85.4	 dBm	22014885	Hz	-85.64	 dBm
22015218	Hz	-85.27	 dBm	22015218	Hz	-85.87	 dBm
22015551	Hz	-85.04	 dBm	22015551	Hz	-86.05	 dBm
22015884	Hz	-84.69	 dBm	22015884	Hz	-85.82	 dBm
22016217	Hz	-84.34	 dBm	22016217	Hz	-85.57	 dBm
22016550	Hz	-84.18	 dBm	22016550	Hz	-85.38	 dBm
22016883	Hz	-84.41	 dBm	22016883	Hz	-84.88	 dBm
22017216	Hz	-84.87	 dBm	22017216	Hz	-83.41	 dBm
22017549	Hz	-84.7	 dBm	22017549	Hz	-81.47	 dBm
22017882	Hz	-83.85	 dBm	22017882	Hz	-79.67	 dBm
22018215	Hz	-83.38	 dBm	22018215	Hz	-78.99	 dBm
22018548	Hz	-83.5	 dBm	22018548	Hz	-79.61	 dBm
22018881	Hz	-84.11	 dBm	22018881	Hz	-81.56	 dBm
22019214	Hz	-84.37	 dBm	22019214	Hz	-84	 dBm
22019547	Hz	-84.17	 dBm	22019547	Hz	-85.26	 dBm
22019880	Hz	-84.3	 dBm	22019880	Hz	-85.6	 dBm
22020213	Hz	-84.85	 dBm	22020213	Hz	-85.52	 dBm
22020546	Hz	-85.2	 dBm	22020546	Hz	-85.22	 dBm
22020879	Hz	-85.2	 dBm	22020879	Hz	-85.26	 dBm
22021212	Hz	-85.53	 dBm	22021212	Hz	-85.62	 dBm
22021545	Hz	-85.93	 dBm	22021545	Hz	-85.58	 dBm
22021878	Hz	-85.96	 dBm	22021878	Hz	-85.38	 dBm
22022211	Hz	-85.71	 dBm	22022211	Hz	-85.5	 dBm
22022544	Hz	-85.45	 dBm	22022544	Hz	-85.56	 dBm
22022877	Hz	-85.03	 dBm	22022877	Hz	-85.65	 dBm
22023210	Hz	-85.13	 dBm	22023210	Hz	-85.92	 dBm
22023543	Hz	-85.51	 dBm	22023543	Hz	-85.99	 dBm
22023876	Hz	-86.02	 dBm	22023876	Hz	-85.52	 dBm
22024209	Hz	-85.78	 dBm	22024209	Hz	-84.9	 dBm
22024542	Hz	-85.26	 dBm	22024542	Hz	-84.56	 dBm
22024875	Hz	-84.88	 dBm	22024875	Hz	-84.61	 dBm
22025208	Hz	-85.19	 dBm	22025208	Hz	-84.97	 dBm
22025541	Hz	-85.67	 dBm	22025541	Hz	-85.19	 dBm
22025874	Hz	-85.72	 dBm	22025874	Hz	-85.18	 dBm
22026207	Hz	-85.58	 dBm	22026207	Hz	-85.4	 dBm
22026540	Hz	-85.61	 dBm	22026540	Hz	-85.53	 dBm
22026873	Hz	-85.79	 dBm	22026873	Hz	-85.2	 dBm
22027206	Hz	-85.6	 dBm	22027206	Hz	-84.86	 dBm
22027539	Hz	-85.4	 dBm	22027539	Hz	-84.96	 dBm
22027872	Hz	-85.06	 dBm	22027872	Hz	-85.48	 dBm
22028205	Hz	-85.12	 dBm	22028205	Hz	-85.93	 dBm
